issue_number,title,existing_labels,labels_to_add,all_suggested_labels
1529,Feature Audit: Sparse disk** - 1GB disk that grows as needed,"feature-audit, priority:low","triage:done, area:storage, area:vm","feature-audit, priority:low, area:storage, area:vm"
1525,Feature Audit: 📊 **Datadog tracing of VM boot process**,feature-audit,"priority:low, area:tracing, area:vm, triage:done, area:build","feature-audit, priority:low, area:build, area:tracing, area:vm"
1523,Feature Audit: 📁 Automatic workspace loading,"feature-audit, priority:low","triage:done, area:vm","feature-audit, priority:low, area:vm"
1522,Feature Audit: 🔧 Full VS Code extension support,"feature-audit, priority:low","triage:done, area:vm","feature-audit, priority:low, area:vm"
1517,Feature Audit: Automatic code-server integration**,"feature-audit, priority:low","triage:done, area:vm","feature-audit, priority:low, area:vm"
1516,Feature Audit: Cross-platform desktop application**,"feature-audit, priority:low","triage:done, area:vm","feature-audit, priority:low, area:vm"
1515,Feature Audit: Professional VS Code development environment**,"feature-audit, priority:low","triage:done, area:vm","feature-audit, priority:low, area:vm"
1514,Feature Audit: Datadog Tracing**: Full tracing of VM boot process (20-second boot time tracked),"priority:low, area:tracing, area:vm, feature-audit, triage:done","area:performance, area:build","feature-audit, priority:low, area:performance, area:build, area:tracing, area:vm"
1512,Feature Audit: No Telemetry** - Privacy-first design (NEXT_TELEMETRY_DISABLED=1),"triage:done, feature-audit, priority:low, area:tracing","area:performance, area:vm","feature-audit, priority:low, area:performance, area:tracing, area:vm"
1511,Feature Audit: Sandboxing** - Tauri security sandbox for web content,"triage:done, area:security, feature-audit, priority:low","area:performance, area:ui, area:vm","feature-audit, priority:low, area:security, area:performance, area:ui, area:vm"
1510,Feature Audit: Domain Allowlisting** - Controlled external connections,"feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1509,Feature Audit: CSP Headers** - Strict Content Security Policy,"triage:done, area:security, feature-audit, priority:low","area:performance, area:vm","feature-audit, priority:low, area:security, area:performance, area:vm"
1508,Feature Audit: Multi-Provider** - Manage keys for multiple AI providers,"feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1507,Feature Audit: Key Rotation** - Easy API key updates,"feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1506,Feature Audit: Environment Variables** - Support for `.env` configuration,"feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1505,"Feature Audit: Secure Storage** - Platform keychain integration (macOS Keychain, Windows Credential Manager, Linux Secret Service)","triage:done, area:rag, feature-audit, priority:low","area:security, area:performance, area:storage, area:vm","feature-audit, priority:low, area:security, area:performance, area:storage, area:vm"
1504,"Feature Audit: Multiple Backends** - Jaeger, Zipkin, Datadog support","triage:done, feature-audit, priority:low, area:tracing","area:performance, area:vm","feature-audit, priority:low, area:performance, area:tracing, area:vm"
1503,Feature Audit: Context Propagation** - Distributed trace correlation,"feature-audit, priority:low","triage:done, area:performance, area:tracing, area:vm","feature-audit, priority:low, area:performance, area:tracing, area:vm"
1502,Feature Audit: Metrics** - Prometheus-compatible metrics on :9090,"triage:done, feature-audit, priority:low, area:tracing","area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1501,Feature Audit: Traces** - OpenTelemetry Protocol (OTLP) export,"triage:done, feature-audit, priority:low, area:tracing","area:performance, area:vm","feature-audit, priority:low, area:performance, area:tracing, area:vm"
1500,Feature Audit: Alerting** - Threshold-based alerts,"feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1499,Feature Audit: Dashboards** - Pre-configured visualizations,"feature-audit, priority:low","triage:done, area:performance, area:ui, area:vm","feature-audit, priority:low, area:performance, area:ui, area:vm"
1498,Feature Audit: Log Aggregation** - Centralized log management,"feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1497,Feature Audit: Metrics Collection** - Custom application metrics,"feature-audit, priority:low","triage:done, area:performance, area:tracing, area:vm","feature-audit, priority:low, area:performance, area:tracing, area:vm"
1496,Feature Audit: APM Tracing** - Distributed request tracing,"triage:done, feature-audit, priority:low, area:tracing","area:performance, area:build, area:vm","feature-audit, priority:low, area:performance, area:build, area:tracing, area:vm"
1495,Feature Audit: Full IDE** - Complete development environment,"feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1494,Feature Audit: pgvector** - Vector database for AI embeddings,"triage:done, area:rag, feature-audit, priority:low","area:performance, area:vm","feature-audit, priority:low, area:rag, area:performance, area:vm"
1493,Feature Audit: code-server** - Browser-based VS Code,"feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1492,Feature Audit: Node.js** - JavaScript/TypeScript development,"feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1491,Feature Audit: Valkey/Redis** - Caching and pub/sub,"feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1490,Feature Audit: PostgreSQL** - Database development,"feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1489,Feature Audit: Auto-Start** - Configure VMs to start with application,"feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1488,Feature Audit: Auto-Discovery** - Automatic VM image detection,"feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1487,Feature Audit: vfkit Support** - Fast VM provisioning,"feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1486,Feature Audit: Lima Integration** - Lightweight Linux VMs,"feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1485,Feature Audit: Apple Virtualization Framework** - Native macOS VM support,"feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1484,"Feature Audit: Branch Management** - Create, switch, and merge branches","triage:done, area:git, feature-audit, priority:low","area:performance, area:vm","feature-audit, priority:low, area:git, area:performance, area:vm"
1483,Feature Audit: Commit History** - Browse and search commits,"triage:done, area:git, feature-audit, priority:low","area:performance, area:vm","feature-audit, priority:low, area:git, area:performance, area:vm"
1482,Feature Audit: Visual Diff** - Side-by-side file comparison,"triage:done, area:git, feature-audit, priority:low","area:performance, area:ui, area:vm","feature-audit, priority:low, area:performance, area:ui, area:vm"
1481,Feature Audit: Git Integration** - Built-in Git operations,"priority: p2, priority:low, feature-audit, triage:done, area:git","area:performance, area:vm","feature-audit, priority:low, area:git, area:performance, area:vm"
1480,Feature Audit: Bug Detection** - AI-powered static analysis,"priority: p2, feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1479,Feature Audit: Documentation Generation** - Automatic docstring creation,"priority: p2, feature-audit, priority:low, area:docs","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1478,Feature Audit: Refactoring Assistance** - Intelligent code transformation,"priority: p2, feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1477,Feature Audit: Code Review** - AI-powered code analysis and suggestions,"priority: p2, feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
